Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Pre-draft Team,Real_value,Height CM,Weight KG,Last Season
John Wall,Washington Wizards,East,"Jan 18, 2016",PG,6'4,210,25,2010,5,2015-2016,2016,Kentucky,0.5,193,95,0
Kevin Durant,Oklahoma City Thunder,West,"Jan 18, 2016",SF,6'9,240,27,2007,8,2015-2016,2016,Texas,0.5,206,108,0
LeBron James,Cleveland Cavaliers,East,"Jan 11, 2016",F,6'8,250,31,2003,12,2015-2016,2016,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Chris Paul,Los Angeles Clippers,West,"Jan 11, 2016",PG,6'0,175,30,2005,10,2015-2016,2016,Wake Forest,0.5,183,79,0
Brook Lopez,Brooklyn Nets,East,"Jan 4, 2016",C,7'0,270,27,2008,7,2015-2016,2016,Stanford,0.5,213,122,0
Draymond Green,Golden State Warriors,West,"Jan 4, 2016",F,6'7,230,25,2012,3,2015-2016,2016,Michigan State,0.5,201,104,0
Marcin Gortat,Washington Wizards,East,"Dec 28, 2015",FC,6'11,240,32,2005,8,2015-2016,2016,Koln 99ers (Germany),0.5,211,108,0
Russell Westbrook,Oklahoma City Thunder,West,"Dec 28, 2015",G,6'3,200,27,2008,7,2015-2016,2016,UCLA,0.5,190,90,0
Reggie Jackson,Detroit Pistons,East,"Dec 21, 2015",G,6'3,208,25,2011,4,2015-2016,2016,Boston College,0.5,190,94,0
Kawhi Leonard,San Antonio Spurs,West,"Dec 21, 2015",F,6'7,230,24,2011,4,2015-2016,2016,San Diego State,0.5,201,104,0
DeMar DeRozan,Toronto Raptors,East,"Dec 14, 2015",GF,6'7,220,26,2009,6,2015-2016,2016,USC,0.5,201,99,0
Kevin Durant,Oklahoma City Thunder,West,"Dec 14, 2015",SF,6'9,240,27,2007,8,2015-2016,2016,Texas,0.5,206,108,0
Reggie Jackson,Detroit Pistons,East,"Dec 7, 2015",G,6'3,208,25,2011,4,2015-2016,2016,Boston College,0.5,190,94,0
Stephen Curry,Golden State Warriors,West,"Dec 7, 2015",G,6'3,190,27,2009,6,2015-2016,2016,Davidson,0.5,190,86,0
Paul George,Indiana Pacers,East,"Nov 30, 2015",GF,6'9,220,25,2010,5,2015-2016,2016,Fresno State,0.5,206,99,0
Kevin Durant,Oklahoma City Thunder,West,"Nov 30, 2015",SF,6'9,240,27,2007,8,2015-2016,2016,Texas,0.5,206,108,0
LeBron James,Cleveland Cavaliers,East,"Nov 23, 2015",F,6'8,250,31,2003,12,2015-2016,2016,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Stephen Curry,Golden State Warriors,West,"Nov 23, 2015",G,6'3,190,27,2009,6,2015-2016,2016,Davidson,0.5,190,86,0
Nicolas Batum,Charlotte Hornets,East,"Nov 16, 2015",F,6'8,200,27,2008,7,2015-2016,2016,Le Mans Sarthe Basket (France),0.5,203,90,0
DeMarcus Cousins,Sacramento Kings,West,"Nov 16, 2015",C,6'11,270,25,2010,5,2015-2016,2016,Kentucky,0.5,211,122,0
Andre Drummond,Detroit Pistons,East,"Nov 9, 2015",C,6'11,279,22,2012,3,2015-2016,2016,Connecticut,0.5,211,126,0
James Harden,Houston Rockets,West,"Nov 9, 2015",SG,6'5,220,26,2009,6,2015-2016,2016,Arizona State,0.5,196,99,0
Andre Drummond,Detroit Pistons,East,"Nov 2, 2015",C,6'11,279,22,2012,3,2015-2016,2016,Connecticut,0.5,211,126,0
Stephen Curry,Golden State Warriors,West,"Nov 2, 2015",G,6'3,190,27,2009,6,2015-2016,2016,Davidson,0.5,190,86,0
Isaiah Thomas,Boston Celtics,East,"Apr 13, 2015",PG,5'9,185,26,2011,3,2014-2015,2015,Washington,0.5,175,83,0
Tim Duncan,San Antonio Spurs,West,"Apr 13, 2015",FC,6'11,250,38,1997,17,2014-2015,2015,Wake Forest,0.5,211,113,0
Brook Lopez,Brooklyn Nets,East,"Apr 6, 2015",C,7'0,270,26,2008,6,2014-2015,2015,Stanford,0.5,213,122,0
James Harden,Houston Rockets,West,"Apr 6, 2015",SG,6'5,220,25,2009,5,2014-2015,2015,Arizona State,0.5,196,99,0
Brook Lopez,Brooklyn Nets,East,"Mar 30, 2015",C,7'0,270,26,2008,6,2014-2015,2015,Stanford,0.5,213,122,0
Stephen Curry,Golden State Warriors,West,"Mar 30, 2015",G,6'3,190,26,2009,5,2014-2015,2015,Davidson,0.5,190,86,0
Dwyane Wade,Miami Heat,East,"Mar 23, 2015",SG,6'4,220,33,2003,11,2014-2015,2015,Marquette,0.5,193,99,0
Chris Paul,Los Angeles Clippers,West,"Mar 23, 2015",PG,6'0,175,29,2005,9,2014-2015,2015,Wake Forest,0.5,183,79,0
Kyrie Irving,Cleveland Cavaliers,East,"Mar 16, 2015",G,6'3,193,22,2011,3,2014-2015,2015,Duke,0.5,190,87,0
Anthony Davis,New Orleans Pelicans,West,"Mar 16, 2015",PF,6'10,253,21,2012,2,2014-2015,2015,Kentucky,0.5,208,114,0
Mo Williams,Charlotte Hornets,East,"Mar 9, 2015",G,6'1,198,32,2003,11,2014-2015,2015,Alabama,0.5,185,89,0
Russell Westbrook,Oklahoma City Thunder,West,"Mar 9, 2015",G,6'3,200,26,2008,6,2014-2015,2015,UCLA,0.5,190,90,0
Isaiah Thomas,Boston Celtics,East,"Mar 2, 2015",PG,5'9,185,26,2011,3,2014-2015,2015,Washington,0.5,175,83,0
Damian Lillard,Portland Trail Blazers,West,"Mar 2, 2015",G,6'3,195,24,2012,2,2014-2015,2015,Weber State,0.5,190,88,0
Giannis Antetokounmpo,Milwaukee Bucks,East,"Feb 9, 2015",F,6'11,242,20,2013,1,2014-2015,2015,Filathlitikos Div II Greece (Greece),0.5,211,109,0
Russell Westbrook,Oklahoma City Thunder,West,"Feb 9, 2015",G,6'3,200,26,2008,6,2014-2015,2015,UCLA,0.5,190,90,0
Kyrie Irving,Cleveland Cavaliers,East,"Feb 2, 2015",G,6'3,193,22,2011,3,2014-2015,2015,Duke,0.5,190,87,0
Zach Randolph,Memphis Grizzlies,West,"Feb 2, 2015",PF,6'9,260,33,2001,13,2014-2015,2015,Michigan State,0.5,206,118,0
LeBron James,Cleveland Cavaliers,East,"Jan 26, 2015",F,6'8,250,30,2003,11,2014-2015,2015,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Klay Thompson,Golden State Warriors,West,"Jan 26, 2015",G,6'7,215,25,2011,3,2014-2015,2015,Washington State,0.5,201,97,0
Al Horford,Atlanta Hawks,East,"Jan 19, 2015",FC,6'10,245,28,2007,7,2014-2015,2015,Florida,0.5,208,111,0
Mo Williams,Minnesota Timberwolves,West,"Jan 19, 2015",G,6'1,198,32,2003,11,2014-2015,2015,Alabama,0.5,185,89,0
Kemba Walker,Charlotte Hornets,East,"Jan 12, 2015",G,6'1,184,24,2011,3,2014-2015,2015,Connecticut,0.5,185,83,0
Klay Thompson,Golden State Warriors,West,"Jan 12, 2015",G,6'7,215,25,2011,3,2014-2015,2015,Washington State,0.5,201,97,0
Jeff Teague,Atlanta Hawks,East,"Jan 5, 2015",PG,6'2,195,26,2009,5,2014-2015,2015,Wake Forest,0.5,188,88,0
Kevin Durant,Oklahoma City Thunder,West,"Jan 5, 2015",SF,6'9,240,26,2007,7,2014-2015,2015,Texas,0.5,206,108,0
Jimmy Butler,Chicago Bulls,East,"Dec 29, 2014",GF,6'8,232,25,2011,3,2014-2015,2015,Marquette,0.5,203,105,0
James Harden,Houston Rockets,West,"Dec 29, 2014",SG,6'5,220,25,2009,5,2014-2015,2015,Arizona State,0.5,196,99,0
Al Horford,Atlanta Hawks,East,"Dec 22, 2014",FC,6'10,245,28,2007,7,2014-2015,2015,Florida,0.5,208,111,0
LaMarcus Aldridge,Portland Trail Blazers,West,"Dec 22, 2014",FC,6'11,265,29,2006,8,2014-2015,2015,Texas,0.5,211,120,0
John Wall,Washington Wizards,East,"Dec 15, 2014",PG,6'4,210,24,2010,4,2014-2015,2015,Kentucky,0.5,193,95,0
James Harden,Houston Rockets,West,"Dec 15, 2014",SG,6'5,220,25,2009,5,2014-2015,2015,Arizona State,0.5,196,99,0
Kyle Lowry,Toronto Raptors,East,"Dec 8, 2014",PG,6'1,196,28,2006,8,2014-2015,2015,Villanova,0.5,185,88,0
LaMarcus Aldridge,Portland Trail Blazers,West,"Dec 8, 2014",FC,6'11,265,29,2006,8,2014-2015,2015,Texas,0.5,211,120,0
LeBron James,Cleveland Cavaliers,East,"Dec 1, 2014",F,6'8,250,30,2003,11,2014-2015,2015,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Blake Griffin,Los Angeles Clippers,West,"Dec 1, 2014",PF,6'10,250,25,2009,5,2014-2015,2015,Oklahoma,0.5,208,113,0
Lou Williams,Toronto Raptors,East,"Nov 24, 2014",G,6'1,175,28,2005,9,2014-2015,2015,South Gwinnett High School (Georgia),0.5,185,79,0
DeMarcus Cousins,Sacramento Kings,West,"Nov 24, 2014",C,6'11,270,24,2010,4,2014-2015,2015,Kentucky,0.5,211,122,0
LeBron James,Cleveland Cavaliers,East,"Nov 17, 2014",F,6'8,250,30,2003,11,2014-2015,2015,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Damian Lillard,Portland Trail Blazers,West,"Nov 17, 2014",G,6'3,195,24,2012,2,2014-2015,2015,Weber State,0.5,190,88,0
Deron Williams,Brooklyn Nets,East,"Nov 10, 2014",PG,6'3,200,30,2005,9,2014-2015,2015,Illinois,0.5,190,90,0
Stephen Curry,Golden State Warriors,West,"Nov 10, 2014",G,6'3,190,26,2009,5,2014-2015,2015,Davidson,0.5,190,86,0
Chris Bosh,Miami Heat,East,"Nov 3, 2014",PF,6'11,235,30,2003,11,2014-2015,2015,Georgia Tech,0.5,211,106,0
Klay Thompson,Golden State Warriors,West,"Nov 3, 2014",G,6'7,215,25,2011,3,2014-2015,2015,Washington State,0.5,201,97,0
Jeff Teague,Atlanta Hawks,East,"Apr 14, 2014",PG,6'2,195,25,2009,4,2013-2014,2014,Wake Forest,0.5,188,88,0
Monta Ellis,Dallas Mavericks,West,"Apr 14, 2014",G,6'3,185,28,2005,8,2013-2014,2014,Lanier High School (Mississippi),0.5,190,83,0
Al Jefferson,Charlotte Bobcats,East,"Apr 7, 2014",FC,6'10,289,29,2004,9,2013-2014,2014,Prentiss High School (Mississippi),0.5,208,131,0
Dirk Nowitzki,Dallas Mavericks,West,"Apr 7, 2014",PF,7'0,245,35,1998,15,2013-2014,2014,DJK Wurzburg (Germany),0.5,213,111,0
Nikola Vucevic,Orlando Magic,East,"Mar 31, 2014",PF,7'0,260,23,2011,2,2013-2014,2014,USC,0.5,213,118,0
Tim Duncan,San Antonio Spurs,West,"Mar 31, 2014",FC,6'11,250,37,1997,16,2013-2014,2014,Wake Forest,0.5,211,113,0
Joe Johnson,Brooklyn Nets,East,"Mar 24, 2014",SG,6'7,240,32,2001,12,2013-2014,2014,Arkansas,0.5,201,108,0
Kevin Durant,Oklahoma City Thunder,West,"Mar 24, 2014",SF,6'9,240,25,2007,6,2013-2014,2014,Texas,0.5,206,108,0
Al Jefferson,Charlotte Bobcats,East,"Mar 17, 2014",FC,6'10,289,29,2004,9,2013-2014,2014,Prentiss High School (Mississippi),0.5,208,131,0
Blake Griffin,Los Angeles Clippers,West,"Mar 17, 2014",PF,6'10,250,24,2009,4,2013-2014,2014,Oklahoma,0.5,208,113,0
Carmelo Anthony,New York Knicks,East,"Mar 10, 2014",F,6'8,240,29,2003,10,2013-2014,2014,Syracuse,0.5,203,108,0
James Harden,Houston Rockets,West,"Mar 10, 2014",SG,6'5,220,24,2009,4,2013-2014,2014,Arizona State,0.5,196,99,0
John Wall,Washington Wizards,East,"Mar 3, 2014",PG,6'4,210,23,2010,3,2013-2014,2014,Kentucky,0.5,193,95,0
James Harden,Houston Rockets,West,"Mar 3, 2014",SG,6'5,220,24,2009,4,2013-2014,2014,Arizona State,0.5,196,99,0
Kemba Walker,Charlotte Bobcats,East,"Feb 24, 2014",G,6'1,184,23,2011,2,2013-2014,2014,Connecticut,0.5,185,83,0
Kevin Love,Minnesota Timberwolves,West,"Feb 24, 2014",FC,6'10,251,25,2008,5,2013-2014,2014,UCLA,0.5,208,113,0
Jared Sullinger,Boston Celtics,East,"Feb 10, 2014",C,6'9,260,21,2012,1,2013-2014,2014,Ohio State,0.5,206,118,0
Kevin Durant,Oklahoma City Thunder,West,"Feb 10, 2014",SF,6'9,240,25,2007,6,2013-2014,2014,Texas,0.5,206,108,0
Kyle Lowry,Toronto Raptors,East,"Feb 3, 2014",PG,6'1,196,27,2006,7,2013-2014,2014,Villanova,0.5,185,88,0
Goran Dragic,Phoenix Suns,West,"Feb 3, 2014",G,6'3,190,27,2008,5,2013-2014,2014,Union Olimpija (Slovenia),0.5,190,86,0
Paul Millsap,Atlanta Hawks,East,"Jan 27, 2014",FC,6'8,246,29,2006,7,2013-2014,2014,Louisiana Tech,0.5,203,111,0
Kevin Durant,Oklahoma City Thunder,West,"Jan 27, 2014",SF,6'9,240,25,2007,6,2013-2014,2014,Texas,0.5,206,108,0
Paul George,Indiana Pacers,East,"Jan 20, 2014",GF,6'9,220,23,2010,3,2013-2014,2014,Fresno State,0.5,206,99,0
Kevin Durant,Oklahoma City Thunder,West,"Jan 20, 2014",SF,6'9,240,25,2007,6,2013-2014,2014,Texas,0.5,206,108,0
Carmelo Anthony,New York Knicks,East,"Jan 13, 2014",F,6'8,240,29,2003,10,2013-2014,2014,Syracuse,0.5,203,108,0
DeMarcus Cousins,Sacramento Kings,West,"Jan 13, 2014",C,6'11,270,23,2010,3,2013-2014,2014,Kentucky,0.5,211,122,0
Thaddeus Young,Philadelphia Sixers,East,"Jan 6, 2014",F,6'8,221,25,2007,6,2013-2014,2014,Georgia Tech,0.5,203,100,0
David Lee,Golden State Warriors,West,"Jan 6, 2014",FC,6'9,245,30,2005,8,2013-2014,2014,Florida,0.5,206,111,0
Chris Bosh,Miami Heat,East,"Dec 30, 2013",PF,6'11,235,29,2003,10,2013-2014,2014,Georgia Tech,0.5,211,106,0
Kevin Durant,Oklahoma City Thunder,West,"Dec 30, 2013",SF,6'9,240,25,2007,6,2013-2014,2014,Texas,0.5,206,108,0
Dwyane Wade,Miami Heat,East,"Dec 23, 2013",SG,6'4,220,32,2003,10,2013-2014,2014,Marquette,0.5,193,99,0
Blake Griffin,Los Angeles Clippers,West,"Dec 23, 2013",PF,6'10,250,24,2009,4,2013-2014,2014,Oklahoma,0.5,208,113,0
Kyrie Irving,Cleveland Cavaliers,East,"Dec 16, 2013",G,6'3,193,21,2011,2,2013-2014,2014,Duke,0.5,190,87,0
LaMarcus Aldridge,Portland Trail Blazers,West,"Dec 16, 2013",FC,6'11,265,28,2006,7,2013-2014,2014,Texas,0.5,211,120,0
Jordan Crawford,Boston Celtics,East,"Dec 9, 2013",G,6'5,195,25,2010,3,2013-2014,2014,Xavier,0.5,196,88,0
LaMarcus Aldridge,Portland Trail Blazers,West,"Dec 9, 2013",FC,6'11,265,28,2006,7,2013-2014,2014,Texas,0.5,211,120,0
LeBron James,Miami Heat,East,"Dec 2, 2013",F,6'8,250,29,2003,10,2013-2014,2014,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Kevin Durant,Oklahoma City Thunder,West,"Dec 2, 2013",SF,6'9,240,25,2007,6,2013-2014,2014,Texas,0.5,206,108,0
John Wall,Washington Wizards,East,"Nov 25, 2013",PG,6'4,210,23,2010,3,2013-2014,2014,Kentucky,0.5,193,95,0
LaMarcus Aldridge,Portland Trail Blazers,West,"Nov 25, 2013",FC,6'11,265,28,2006,7,2013-2014,2014,Texas,0.5,211,120,0
LeBron James,Miami Heat,East,"Nov 18, 2013",F,6'8,250,29,2003,10,2013-2014,2014,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Blake Griffin,Los Angeles Clippers,West,"Nov 18, 2013",PF,6'10,250,24,2009,4,2013-2014,2014,Oklahoma,0.5,208,113,0
Paul George,Indiana Pacers,East,"Nov 11, 2013",GF,6'9,220,23,2010,3,2013-2014,2014,Fresno State,0.5,206,99,0
Markieff Morris,Phoenix Suns,West,"Nov 11, 2013",PF,6'10,245,24,2011,2,2013-2014,2014,Kansas,0.5,208,111,0
Michael Carter-Williams,Philadelphia Sixers,East,"Nov 4, 2013",PG,6'6,190,22,2013,0,2013-2014,2014,Syracuse,0.5,198,86,0
Kevin Love,Minnesota Timberwolves,West,"Nov 4, 2013",FC,6'10,251,25,2008,5,2013-2014,2014,UCLA,0.5,208,113,0
Carmelo Anthony,New York Knicks,East,"Apr 15, 2013",F,6'8,240,28,2003,9,2012-2013,2013,Syracuse,0.5,203,108,0
Kobe Bryant,Los Angeles Lakers,West,"Apr 15, 2013",SG,6'6,212,34,1996,16,2012-2013,2013,Lower Merion High School (Pennsylvania),0.5,198,96,0
Carmelo Anthony,New York Knicks,East,"Apr 8, 2013",F,6'8,240,28,2003,9,2012-2013,2013,Syracuse,0.5,203,108,0
Nikola Pekovic,Minnesota Timberwolves,West,"Apr 8, 2013",PF,6'11,307,27,2008,2,2012-2013,2013,Panathinaikos (Greece),0.5,211,139,0
J.R. Smith,New York Knicks,East,"Apr 1, 2013",SG,6'6,225,27,2004,8,2012-2013,2013,Saint Benedict's Preparatory School (New Jersey),0.5,198,102,0
Al Jefferson,Utah Jazz,West,"Apr 1, 2013",FC,6'10,289,28,2004,8,2012-2013,2013,Prentiss High School (Mississippi),0.5,208,131,0
LeBron James,Miami Heat,East,"Mar 25, 2013",F,6'8,250,28,2003,9,2012-2013,2013,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
James Harden,Houston Rockets,West,"Mar 25, 2013",SG,6'5,220,23,2009,3,2012-2013,2013,Arizona State,0.5,196,99,0
John Wall,Washington Wizards,East,"Mar 18, 2013",PG,6'4,210,22,2010,2,2012-2013,2013,Kentucky,0.5,193,95,0
LaMarcus Aldridge,Portland Trail Blazers,West,"Mar 18, 2013",FC,6'11,265,27,2006,6,2012-2013,2013,Texas,0.5,211,120,0
Dwyane Wade,Miami Heat,East,"Mar 11, 2013",SG,6'4,220,31,2003,9,2012-2013,2013,Marquette,0.5,193,99,0
Kobe Bryant,Los Angeles Lakers,West,"Mar 11, 2013",SG,6'6,212,34,1996,16,2012-2013,2013,Lower Merion High School (Pennsylvania),0.5,198,96,0
Monta Ellis,Milwaukee Bucks,East,"Mar 4, 2013",G,6'3,185,27,2005,7,2012-2013,2013,Lanier High School (Mississippi),0.5,190,83,0
Ty Lawson,Denver Nuggets,West,"Mar 4, 2013",PG,5'11,195,25,2009,3,2012-2013,2013,North Carolina,0.5,180,88,0
LeBron James,Miami Heat,East,"Feb 25, 2013",F,6'8,250,28,2003,9,2012-2013,2013,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Kobe Bryant,Los Angeles Lakers,West,"Feb 25, 2013",SG,6'6,212,34,1996,16,2012-2013,2013,Lower Merion High School (Pennsylvania),0.5,198,96,0
LeBron James,Miami Heat,East,"Feb 11, 2013",F,6'8,250,28,2003,9,2012-2013,2013,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Russell Westbrook,Oklahoma City Thunder,West,"Feb 11, 2013",G,6'3,200,24,2008,4,2012-2013,2013,UCLA,0.5,190,90,0
Nate Robinson,Chicago Bulls,East,"Feb 4, 2013",G,5'9,180,28,2005,7,2012-2013,2013,Washington,0.5,175,81,0
David Lee,Golden State Warriors,West,"Feb 4, 2013",FC,6'9,245,29,2005,7,2012-2013,2013,Florida,0.5,206,111,0
Kyrie Irving,Cleveland Cavaliers,East,"Jan 28, 2013",G,6'3,193,20,2011,1,2012-2013,2013,Duke,0.5,190,87,0
Tony Parker,San Antonio Spurs,West,"Jan 28, 2013",G,6'2,185,30,2001,11,2012-2013,2013,Paris Basket Racing (France),0.5,188,83,0
Carlos Boozer,Chicago Bulls,East,"Jan 21, 2013",PF,6'9,266,31,2002,10,2012-2013,2013,Duke,0.5,206,120,0
Kevin Durant,Oklahoma City Thunder,West,"Jan 21, 2013",SF,6'9,240,24,2007,5,2012-2013,2013,Texas,0.5,206,108,0
Brandon Jennings,Milwaukee Bucks,East,"Jan 14, 2013",G,6'1,170,23,2009,3,2012-2013,2013,Virtus Roma (Italy),0.5,185,77,0
Kevin Durant,Oklahoma City Thunder,West,"Jan 14, 2013",SF,6'9,240,24,2007,5,2012-2013,2013,Texas,0.5,206,108,0
Carmelo Anthony,New York Knicks,East,"Jan 7, 2013",F,6'8,240,28,2003,9,2012-2013,2013,Syracuse,0.5,203,108,0
James Harden,Houston Rockets,West,"Jan 7, 2013",SG,6'5,220,23,2009,3,2012-2013,2013,Arizona State,0.5,196,99,0
Monta Ellis,Milwaukee Bucks,East,"Dec 31, 2012",G,6'3,185,27,2005,7,2012-2013,2013,Lanier High School (Mississippi),0.5,190,83,0
Greivis Vasquez,New Orleans Hornets,West,"Dec 31, 2012",G,6'6,217,26,2010,2,2012-2013,2013,Maryland,0.5,198,98,0
LeBron James,Miami Heat,East,"Dec 24, 2012",F,6'8,250,28,2003,9,2012-2013,2013,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Chris Paul,Los Angeles Clippers,West,"Dec 24, 2012",PG,6'0,175,27,2005,7,2012-2013,2013,Wake Forest,0.5,183,79,0
Paul George,Indiana Pacers,East,"Dec 17, 2012",GF,6'9,220,22,2010,2,2012-2013,2013,Fresno State,0.5,206,99,0
David Lee,Golden State Warriors,West,"Dec 17, 2012",FC,6'9,245,29,2005,7,2012-2013,2013,Florida,0.5,206,111,0
Josh Smith,Atlanta Hawks,East,"Dec 10, 2012",PF,6'9,225,27,2004,8,2012-2013,2013,Oak Hill Academy (Virginia),0.5,206,102,0
Blake Griffin,Los Angeles Clippers,West,"Dec 10, 2012",PF,6'10,250,23,2009,3,2012-2013,2013,Oklahoma,0.5,208,113,0
Carmelo Anthony,New York Knicks,East,"Dec 3, 2012",F,6'8,240,28,2003,9,2012-2013,2013,Syracuse,0.5,203,108,0
Kevin Durant,Oklahoma City Thunder,West,"Dec 3, 2012",SF,6'9,240,24,2007,5,2012-2013,2013,Texas,0.5,206,108,0
Al Horford,Atlanta Hawks,East,"Nov 26, 2012",FC,6'10,245,26,2007,5,2012-2013,2013,Florida,0.5,208,111,0
Tim Duncan,San Antonio Spurs,West,"Nov 26, 2012",FC,6'11,250,36,1997,15,2012-2013,2013,Wake Forest,0.5,211,113,0
LeBron James,Miami Heat,East,"Nov 19, 2012",F,6'8,250,28,2003,9,2012-2013,2013,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Kevin Durant,Oklahoma City Thunder,West,"Nov 19, 2012",SF,6'9,240,24,2007,5,2012-2013,2013,Texas,0.5,206,108,0
LeBron James,Miami Heat,East,"Nov 12, 2012",F,6'8,250,28,2003,9,2012-2013,2013,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Kenneth Faried,Denver Nuggets,West,"Nov 12, 2012",F,6'8,220,23,2011,1,2012-2013,2013,Morehead State,0.5,203,99,0
Brandon Jennings,Milwaukee Bucks,East,"Nov 5, 2012",G,6'1,170,23,2009,3,2012-2013,2013,Virtus Roma (Italy),0.5,185,77,0
James Harden,Houston Rockets,West,"Nov 5, 2012",SG,6'5,220,23,2009,3,2012-2013,2013,Arizona State,0.5,196,99,0
LeBron James,Miami Heat,East,"Apr 23, 2012",F,6'8,250,27,2003,8,2011-2012,2012,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Al Jefferson,Utah Jazz,West,"Apr 23, 2012",FC,6'10,289,27,2004,7,2011-2012,2012,Prentiss High School (Mississippi),0.5,208,131,0
Kevin Garnett,Boston Celtics,East,"Apr 16, 2012",PF,6'11,240,35,1995,16,2011-2012,2012,Farragut Career Academy (Illinois),0.5,211,108,0
Andrew Bynum,Los Angeles Lakers,West,"Apr 16, 2012",C,7'0,285,24,2005,6,2011-2012,2012,St. Joseph High School (New Jersey),0.5,213,129,0
LeBron James,Miami Heat,East,"Apr 9, 2012",F,6'8,250,27,2003,8,2011-2012,2012,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Goran Dragic,Houston Rockets,West,"Apr 9, 2012",G,6'3,190,25,2008,3,2011-2012,2012,Union Olimpija (Slovenia),0.5,190,86,0
Paul Pierce,Boston Celtics,East,"Apr 2, 2012",SF,6'7,235,34,1998,13,2011-2012,2012,Kansas,0.5,201,106,0
Chris Paul,Los Angeles Clippers,West,"Apr 2, 2012",PG,6'0,175,26,2005,6,2011-2012,2012,Wake Forest,0.5,183,79,0
Joe Johnson,Atlanta Hawks,East,"Mar 26, 2012",SG,6'7,240,30,2001,10,2011-2012,2012,Arkansas,0.5,201,108,0
Kevin Durant,Oklahoma City Thunder,West,"Mar 26, 2012",SF,6'9,240,23,2007,4,2011-2012,2012,Texas,0.5,206,108,0
Drew Gooden,Milwaukee Bucks,East,"Mar 19, 2012",FC,6'10,250,30,2002,9,2011-2012,2012,Kansas,0.5,208,113,0
Andrew Bynum,Los Angeles Lakers,West,"Mar 19, 2012",C,7'0,285,24,2005,6,2011-2012,2012,St. Joseph High School (New Jersey),0.5,213,129,0
Ersan Ilyasova,Milwaukee Bucks,East,"Mar 12, 2012",F,6'10,235,24,2005,4,2011-2012,2012,Alpella B.K. (Turkey),0.5,208,106,0
Monta Ellis,Golden State Warriors,West,"Mar 12, 2012",G,6'3,185,26,2005,6,2011-2012,2012,Lanier High School (Mississippi),0.5,190,83,0
Derrick Rose,Chicago Bulls,East,"Mar 5, 2012",PG,6'3,200,23,2008,3,2011-2012,2012,Memphis,0.5,190,90,0
Ty Lawson,Denver Nuggets,West,"Mar 5, 2012",PG,5'11,195,24,2009,2,2011-2012,2012,North Carolina,0.5,180,88,0
LeBron James,Miami Heat,East,"Feb 20, 2012",F,6'8,250,27,2003,8,2011-2012,2012,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Kevin Durant,Oklahoma City Thunder,West,"Feb 20, 2012",SF,6'9,240,23,2007,4,2011-2012,2012,Texas,0.5,206,108,0
Jeremy Lin,New York Knicks,East,"Feb 13, 2012",G,6'3,200,23,2010,1,2011-2012,2012,Harvard,0.5,190,90,0
Russell Westbrook,Oklahoma City Thunder,West,"Feb 13, 2012",G,6'3,200,23,2008,3,2011-2012,2012,UCLA,0.5,190,90,0
Paul Pierce,Boston Celtics,East,"Feb 6, 2012",SF,6'7,235,34,1998,13,2011-2012,2012,Kansas,0.5,201,106,0
Tony Parker,San Antonio Spurs,West,"Feb 6, 2012",G,6'2,185,29,2001,10,2011-2012,2012,Paris Basket Racing (France),0.5,188,83,0
LeBron James,Miami Heat,East,"Jan 30, 2012",F,6'8,250,27,2003,8,2011-2012,2012,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
Russell Westbrook,Oklahoma City Thunder,West,"Jan 30, 2012",G,6'3,200,23,2008,3,2011-2012,2012,UCLA,0.5,190,90,0
Dwight Howard,Orlando Magic,East,"Jan 23, 2012",C,6'11,265,26,2004,7,2011-2012,2012,Southwest Atlanta Christian Academy (Georgia),0.5,211,120,0
Marc Gasol,Memphis Grizzlies,West,"Jan 23, 2012",C,7'1,255,27,2007,3,2011-2012,2012,Sant Josep Girona (Spain),0.5,216,115,0
Derrick Rose,Chicago Bulls,East,"Jan 16, 2012",PG,6'3,200,23,2008,3,2011-2012,2012,Memphis,0.5,190,90,0
Kobe Bryant,Los Angeles Lakers,West,"Jan 16, 2012",SG,6'6,212,33,1996,15,2011-2012,2012,Lower Merion High School (Pennsylvania),0.5,198,96,0
LeBron James,Miami Heat,East,"Jan 9, 2012",F,6'8,250,27,2003,8,2011-2012,2012,St. Vincent St. Mary High School (Ohio),0.5,203,113,0
